epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.0002890402854753632,0.012536891,0.0010013788619861084,0.024552492
1,0.0002902212852294929,0.012602935,5.8023407058053514e-05,0.0056900093
2,0.00029401715055393714,0.0125173,0.0005660165766900094,0.018107107
3,0.0002858080842056217,0.012586198,0.00117954274971688,0.02386536
4,0.00028848882651149883,0.01263581,0.0007078022557086633,0.01959301
5,0.0002744520747286882,0.012161171,0.0004090899486734937,0.013999741
6,0.00028283564252738557,0.012405815,0.0002892200462350879,0.012653231
7,0.0002729138042095689,0.012181587,0.0004045068259643021,0.015628422
8,0.0002719798893085876,0.012390471,0.0003789834636685751,0.011969635
9,0.0002763018870621177,0.012199828,0.00048769545677429413,0.016026258
10,0.0002680059295898077,0.012271403,0.001079001894553394,0.02453238
11,0.0002656183457812782,0.0118851345,0.00016102686988360028,0.009375582
12,0.00025672856713366166,0.012157714,0.0006901623009291099,0.018561572
13,0.0002615470493809963,0.011683168,7.468959566880054e-05,0.006343584
14,0.0002654113952082502,0.012041314,0.00020296477037772096,0.009696534
